user,#samples,dlength-slope,dlength-intercept,dlength-r,length.mean,length.std,dheight-slope,dheight-intercept,dheight-r,height.mean,height.std
2014012173,47,0.000183471,54.18430352,185601.9705,3134.212766,5205.210458,0.003533371,44.47625324,183110.0665,2910.276596,2078.40926
2014013072,37,-0.003541468,57.99995885,106250.9599,2069.972973,2757.482513,0.001214673,46.8954913,109505.7276,3106.783784,2239.376121
2014013076,27,-0.005236864,76.61523501,127994.4108,1741.481481,2505.006873,0.006001853,51.3976957,129552.7085,2682.111111,1781.903982
2013013014,33,0.004371621,35.28674698,45565.18447,5290.606061,10839.10406,0.00658743,31.95037446,98037.87053,4017.484848,3885.731195
2013011103,29,0.001464194,36.73173831,34851.12843,4154.965517,5830.600416,0.001789441,35.27871919,34741.35346,4211.758621,4893.160171
2012011297,35,-0.000707187,43.43884385,82395.75111,3309.228571,5835.907143,-0.005679221,60.06995514,76230.64149,3340.485714,2447.321117
2011011235,94,0.00105686,25.7816432,149660.1383,2788.606383,7900.129185,0.001620415,23.65111762,154890.1857,3133.574468,2315.041466
2011011239,79,0.001542115,39.78750384,238290.6466,2872.721519,8878.531086,-0.00124893,47.50801031,252385.253,2634.607595,2408.752114
2014620840,25,0.00265065,58.51322419,82557.75355,2955.04,4118.994989,-0.000762551,69.03014858,85380.07697,3519.96,3294.185781
2014012337,35,-0.000768375,37.58703419,56284.86519,4518.114286,7449.653406,-0.003636586,46.28604318,54352.94819,3346.714286,2579.03225
2011011254,70,6.99E-05,54.83989426,270979.5573,3912.471429,9776.293836,0.004180202,42.41819507,256950.2834,3036.942857,3390.597039
2012012731,19,0.002856189,91.54711814,209713.6111,5272.736842,16303.0957,0.002240743,97.74939433,247684.8553,3953,5815.144104
2014012991,21,-0.000420337,50.91883683,56964.26152,5758.714286,15737.52243,0.007009223,29.01994064,54569.86784,2778.952381,1792.061741
2013011392,37,-0.000638767,50.29878064,56282.67272,2808.108108,5849.987922,-0.001425785,53.21900691,55994.06212,3306.216216,3272.000811
2013011395,31,0.001651611,58.51937792,80092.33005,5985.225806,14495.12483,0.009933473,43.95420297,72413.29335,2461.419355,2884.235089
2011011268,65,0.000502497,16.65679922,20851.24451,4463.338462,10456.55428,0.000241056,18.10197487,22608.7342,3308.938462,3132.885904
2013011400,32,0.001561537,21.15197124,69195.24123,2071.875,2909.483349,0.004368888,12.51605793,67405.12357,2717.21875,2003.059047
2013012946,42,0.002278765,59.37521031,137797.7815,2284.071429,3292.880143,0.010240852,30.34051419,114507.3373,3343.428571,2413.390513
2013012949,27,0.006938697,20.96273528,24865.10845,1491.592593,1440.893145,-0.001761236,36.41141697,27038.80777,2895.111111,2504.113524
2013010775,31,0.000523173,27.98276414,97508.822,3457.580645,10329.15474,0.00766315,5.464390957,82145.94358,3174.580645,2989.379294
2011012703,61,-0.000208454,67.70652925,523331.2353,3267.639344,7129.170775,0.006655249,45.26675029,492230.3528,3269.393443,3400.131566
2014013409,31,0.001037034,68.62718259,194785.8024,3547.129032,4688.664076,0.018396372,24.05199448,168972.1445,2623,1590.710351
2013011429,40,0.006199729,31.93923251,208884.3274,2984.125,4128.753633,0.013905389,2.043683852,211218.0199,3480.4,1756.942199
2014010728,54,-0.000632598,61.14860804,194732.8488,4696.148148,10619.64791,-0.003319669,72.10944111,192339.7367,4196.685185,2848.987148
2014010219,42,-0.000163838,18.21730755,11983.80829,2251.928571,3094.111738,-0.001001769,20.90329928,11775.393,3049.547619,2280.533294
2011010412,43,-5.20E-05,37.55127923,72665.13667,3233.837209,6046.793423,0.001716254,31.25913498,70525.60678,3568.27907,4114.091108
2013011437,31,0.004123338,56.53436871,205234.3492,3968.774194,12984.76868,-0.005601531,89.58990298,287480.8413,2979.709677,2608.402579
2014011004,56,0.000122771,21.64315597,38500.33449,3174.803571,4310.35834,-0.00044164,23.39732795,38435.6598,3089.392857,2712.369527
2013010773,25,-0.000538586,50.96157237,25503.85569,5129.6,14466.75006,0.000882597,44.20367862,26260.06302,4526.6,6253.271573
overall,#,0.00103367,42.95761547,4216850.955,#,#,0.00218623,39.45621169,4252940.168,,