user, # samples ,tbg v.s. sat(raw), p-value, ptbg v.s. sat(raw),p-value,p-value<0.01
2014012173,49,0.16452413,0.095361594,0.179050688,0.069520277,FALSE
2014013072,26,-0.230350221,0.098919481,-0.258701018,0.063852877,FALSE
2014013076,23,-0.00867681,0.953766868,0.06073767,0.684860376,FALSE
2013011103,41,0.131380318,0.22626448,0.151372975,0.163265154,FALSE
2012011297,30,0.021646144,0.86658923,0.032469215,0.801049834,FALSE
2014620840,23,0.122649042,0.412488699,0.017521292,0.906800969,FALSE
2014012337,37,-0.018782438,0.87004205,-0.015367449,0.893514311,FALSE
2012012731,24,0.340725252,0.019668613,0.348935499,0.016902688,FALSE
2013011392,26,0.291848181,0.036558952,0.264380117,0.058239881,FALSE
2011011268,23,0.223689337,0.13500384,0.316893228,0.034223241,FALSE
2013011400,15,0.064662081,0.736875378,0.043108054,0.822760406,FALSE
2013012946,27,0.286958129,0.03575095,0.258616585,0.058442214,FALSE
2013012949,32,0.093580969,0.451626922,0.125535446,0.312626175,FALSE
2013010775,34,0.258154122,0.031797901,0.208188808,0.083379588,FALSE
2011012703,55,0.099565569,0.283110373,0.150114243,0.105599232,FALSE
2014013409,32,0.146317599,0.239241329,0.174637134,0.160119599,FALSE
2014010219,11,-0.349569351,0.134454026,-0.226191933,0.33279673,FALSE
2011010412,50,0.175805587,0.071628652,0.207262587,0.033686079,FALSE
2013011437,20,0.030123762,0.852683688,0.054222771,0.73818971,FALSE
2014011004,14,-0.089647863,0.655159296,-0.166488889,0.406871411,FALSE
2013010773,37,0.130888258,0.254241847,0.137868966,0.229785184,FALSE
2013013014,51,0.382657859,7.41E-05,0.395087581,4.29E-05,TRUE
2011011235,41,0.433113701,6.63E-05,0.40145755,0.000217733,TRUE
2011011239,30,0.451575182,0.000457283,0.445894991,0.000539126,TRUE
2011011254,28,0.378934503,0.004656702,0.399417449,0.002855917,TRUE
2014012991,37,0.409685258,0.000358925,0.371973644,0.001194923,TRUE
2013011395,34,0.436746854,0.000281004,0.35846204,0.002871643,TRUE
2013011429,42,0.286845608,0.007438356,0.310421959,0.003772968,TRUE
2014010728,33,0.349137742,0.004285921,0.357601688,0.0034384,TRUE